name,brand,kcal_per_100g,serving_g,per_serving_kcal
Potatoes Stroganoff Hamburger Helper,GENERAL MILLS SALES INC.,355,214,759.7
SPAGHETTI AND MEATBALLS,NOT A BRANDED ITEM,214,397,849.6
Haupia,,274,213,583.6
"CHICKEN PARMESAN FULLY COOKED BREADED WHITE CHICKEN MEAT, COOKED PASTA, MARINARA SAUCE AND MOZZARELLA CHEESE, CHICKEN PARMESAN","Wal-Mart Stores, Inc.",155,355,550.3
SuperSONIC Double Cheeseburger,Sonic Drive-In,356.67,300,1070
"Nuts, walnuts, english",,654,117,765.2
Shawarma Plate,,250,400,1000
"Sausage, Egg and Cheese Biscuit",Waffle House,300,190,570
BBQ Ribs Platter,,300,300,900
HANDCRAFTED EVERROAST CHICKEN & MONTEREY JACK CHEESE SANDWICH,"Renaissance Food Group, LLC",191,283,540.5
SPAGHETTI AND MEATBALLS,"B. Robert's Foods, Inc.",214,397,849.6
Traditional Crust Pizza,Digiorno,278,263,731.1
Classic Italian Style Pizza,Nice!,267,262,699.5
CHICKEN SALAD ON CROISSANT,"Ukrop's Homestyle Foods, LLC",321,187,600.3
"16"""" Pizzeria Style Pizza Topped  with Mozzarella Cheese, Tomato Sauce, and Pepperoni",Nardone Brothers Baking Co.  Inc.,372,144.1,536.1
"White Chocolate Macadamia Nut Gourmet Cookies, White Chocolate Macadamia Nut",Harris Teeter,460,113,519.8
Corned Beef and Cabbage,,155,400,620
"ALL VEGGIE ROLL PLATTER WR, ALL VEGGIE","Genji, Inc.",150,717,1075.5
SIX CHEESE CLASSIC ITALIAN STYLE PIZZA,Walgreens Co.,256,262,670.7
"TERRY'S, CHOCOLATE MINIS, CHOCOLATE ORANGE",TERRY'S,525,100,525
Multi Grain Cheerios Crl 2 Pk,GENERAL MILLS SALES INC.,385,162,623.7
"BACON TOPPED MEATLOAF WITH SPICY KETCHUP, BACON TOPPED MEATLOAF",Kraft Heinz Foods Company,180,283,509.4
"AKESSON'S, SINGLE PLANTATION CHOCOLATE",David Hayes Inc.,570,100,570
"Hungry-man, Classic Fried Chicken, Mesquite",Hungry-Man,192,422,810.2
TENDER WHITE MEAT CHICKEN POT PIE,Marie Callender's Retail Foods,212,283,600
"SPICY TUNA POKE BOWL, SPICY TUNA",Sushi With Gusto,179,431,771.5
TURKEY PINWHEELS,"Taylor Fresh Foods, Inc.",200,255,510
12 oz New York Strip Steak,TGI Fridays,285.29,340,970
MEAL BOWL PESTO TORTELLINI,"FRESH & EASY, LLC",212,255,540.6
Pastie,Bader Publishing,212,340,720.8
Arroz Chaufa de Mariscos,,148.65,370,550
RAW FIZZY PROBIOTIC TEA,"Holy Kombucha, Inc.",250,240,600
"B.L.T., Footlong",Subway,164.44,450,740
Roast Turkey Dinner,,117.65,680,800
MEALS KITS JAPANESE-INSPIRED BEEF BOWL,The Kroger Co.,114,516,588.2
Fried Rice,Ling Ling,170,312,530.4
Boneless Fried Chicken & Waffles,Hungry-Man,177,453,801.8
"DAYSTAR DESSERTS, CANNOLI CAKE","Dianne's Fine Desserts, Inc.",416,125,520
"FRUIT KAKE OLD-FASHIONED PRE-SLICED CAKE, FRUIT KAKE",Tasty Baking Company,408,130,530.4
"72 ROUND TART SWEET 4""",,528,100,528
Crispy Chicken Sandwich,Chili's Grill & Bar,240,350,840
"UNSWEETENED VANILLA FLAVORED ALMONDMILK, UNSWEETENED VANILLA",H E Butt Grocery Company,438,240,1051.2
Four Cheese Lasagna Hamb Help,GENERAL MILLS SALES INC.,353,208,734.2
Caesar Chicken Salad,Archer Farms,177,283,500.9
Jollof Rice with Beef,,135.5,400,542
"PEANUT BUTTER CHOCOLATE BROWNIE, PEANUT BUTTER CHOCOLATE",The Kroger Co.,468,141,659.9
Sausage Egg and Cheese Biscuit,Tim Hortons,277.49,191,530
CREME BRULEE DESSERT,"Schnuck Markets, Inc.",363,150,544.5
Chilate con Nuegados,,145.42,480,698
Kabsa with Fish,,162.5,400,650
"Hash Browns, Large",Burger King,372.22,180,670
Cheeseburger Macaroni Hamburger Helper Twin Pack,GENERAL MILLS SALES INC.,350,177,619.5
"Cold Cut Combo®, Footlong",Subway,142.22,450,640
"TURKEY & CHEDDAR SLIDERS, TURKEY & CHEDDAR","Publix Super Markets, Inc.",258,198,510.8
5 Round Whole Wheat Cheese Pizza,Nardone Brothers Baking Co.,354,154.5,546.9
CRISPY CORNMEAL CRUST SINGLES MUSHROOM & OLIVE PIZZA,"Table5, Inc.",263,198,520.7
JALAPENO CHEDDAR TURKEY SANDWICH,"Udi, The Sandwichman, Inc.",298,198,590
Crunchy Taco Hamburger Helper,GENERAL MILLS SALES INC.,372,264,982.1
Kimchi Fries,,230,400,920
"Whole Wheat Self-Rising Buffalo Style Chicken Pizza Topped with Buffalo Sauce, Mozzarella Cheese, and Chicken",Nardone Brothers Baking Co.  Inc.,448,180,806.4
KOREAN-INSPIREDMEATBALLS WITH JASMINE RICE,"Publix Super Markets, Inc.",251,283,710.3
OPUS LUXURY ASSORTMENT CHOCOLATES,GUYLIAN,553,100,553
Authentic Italian Lasagna,Kroger,201,249,500.5
"MOZZARELLA CHEESE COATED IN A SEASONED BREADING GRAB AND GO CHEESE STICKS, MOZZARELLA CHEESE COATED IN A SEASONED BREADING","Meijer, Inc.",311,190,590.9
"SPRING ROLL COMBO, SPRING ROLL",Gavin & Bailey Consulting Firm LLC,135,539,727.6
Hamburger Helper Deluxe Beef Stroganoff Pasta Meal,GENERAL MILLS SALES INC.,356,201,715.6
TUNA PASTA,"Udi, The Sandwichman, Inc.",126,452,569.5
Lucky Charms Gluten Free Breakfast Cereal With Unicorn Marshmallows,GENERAL MILLS SALES INC.,390,159,620.1
Cheese N Eggs with Raisin Toast,Waffle House,239.29,280,670
Popcorn Fried Chicken,Publix,337,175,589.8
Spicy Red Hot Bean & Cheese Chimichanga,El Monterey,225,227,510.8
Pepperoni & Cheddar Cheese,Renaissance Food Group,424,170,720.8
"LADY BUG CAKES, VANILLA","Wal-Mart Stores, Inc.",451,113,509.6
Quarter Pound King,Burger King,252.17,230,580
"Applebee’s Riblets, Platter",Applebee's,233.33,600,1400
Carnitas Big Burrito,Evol,195,298,581.1
"TURTLE PIE CHOCOLATE COOKIE CRUMB CRUST, TURTLE PIE","Conagra Brands, Inc.",432,139,600.5
Our Deli Turkey Gobbler Sandwich,Lunds & Byerlys,196,280,548.8
"CLASSIC RECIPE BUFFALO STYLE CHICKEN MAC & CHEESE CHICKEN BREAST OVER CAVATAPPI PASTA IN BUFFALO STYLE CHEESE SAUCE WITH BLUE CHEESE CRUMBLES, CLASSIC RECIPE BUFFALO STYLE CHICKEN MAC & CHEESE",H E Butt Grocery Company,200,340,680
GOURMET POORBOY SUB SANDWICH,"Schnuck Markets, Inc.",168,595,999.6
Margherita Rice Crust Pizza,Amy's,287,181,519.5
"Napa Almond Chicken Salad Sandwich, Whole",Panera Bread,188.24,340,640
"Portabella Cheese Steak (Hot Sub #66), Giant",Jersey Mike's Subs,198.65,740,1470
Meatlovers Cauliflower Pizza Bowl,Nestlé,174,311,541.1
Jack’s Spicy Chicken with Cheese,Jack in the Box,310.2,245,760
"ROMAINE LETTUCE, TURKEY BREAST, EGGS, TOMATOES, CHEESE, AND SERVED WITH RANCH DRESSING, CHEF SALAD",Target Stores,149,397,591.5
Alcatra,,250,238,595
"FOUR CHEESE FOR ONE TRADITIONAL CRUST PIZZA, FOUR CHEESE",Nestle USA Inc.,262,260,681.2
CAESAR PASTA SALAD WITH WHITE MEAT CHICKEN,"Taylor Fresh Foods, Inc.",235,255,599.3
"YERBA MATE GINGER KOMBUCHA, YERBA MATE GINGER",Revive Brands,375,240,900
GRILLED STEAK LARGE BURRITOS,Ruiz Food Products Inc,229,284,650.4
"Breakfast Crunchwrap, California",Taco Bell,266.67,240,640
"Nuts, hickorynuts, dried",,657,120,788.4
Tacos,Chipotle Mexican Grill,206.67,300,620
"HAND MADE SOY CHORIZO, BEAN & POTATO BURRITO, SOY CHORIZO & BEAN",Reynaldo's Mexican Food Manufacturer Inc.,191,283,540.5
Sausage & Uncured Pepperoni Classic Pizza,Home Run Inn,298,248,739
"RAVIOLI WITH BROWN BUTTER AND SAGE PASTA FILLED WITH MOZZARELLA, RICOTTA, MASCARPONE, & HARD GRATED CHEESES, BUTTER, AND SAGE, RAVIOLI WITH BROWN BUTTER AND SAGE","Safeway, Inc.",379,140,530.6
Radix Nutrition Ultra Breakfast Mixer Berry 162g,RADIX NUTRITION LIMITED,249,322,801.8
"Fisher, Honey Roasted Almonds",Fisher,573,100,573
Plate Ready Pasty,Rise Brewing Co.,236,250,590
Meatloaf With Mashed Potatoes and Carrots,Meijer,134,411,550.7
"SWEET MAPLE FLAVOR STUFFED WAFFLE, SWEET MAPLE","General Mills, Inc.",409,127,519.4
"Wheat, hard white",,342,192,656.6
"BEACH BASH TART & TANGY SEED & FRUIT MIX, BEACH BASH","Enjoy Life Natural Brands, LLC",2093,28,586
DARK CHOCOLATE,WAWEL,511,100,511
"CARROT CAKE CHEESECAKE, CARROT CAKE","Wal-Mart Stores, Inc.",322,227,730.9
"COOKIES N CREAM GOOEY, COOKIES N CREAM",Haydel's Enterprises Inc,408,142,579.4
Roast Beef Pinwheels,Schwartz Brothers Bakery,216,255,550.8
Bbq Chicken Salad Sandwich,Denver,248,234,580.3
"Whole Foods Market, Black Bean and Cheese Burrito",Whole Foods Market,203,340,690.2
CHOCOLATE SOUFFLE,RODOULA,394,150,591
Pork Skin On Belly 10/12 MBG#408,Seaboard Foods LLC,518,112,580.2
"FRENCH TOAST BAKE WITH SWEET SYRUP GLAZE, PECANS AND A TOUCH OF CINNAMON, FRENCH TOAST BAKE",Nestle Usa-Frozen Food Division,224,255,571.2
NASHVILLE HOT CHICKEN RECIPE,Conagra Frozen Foods,139,368,511.5
Duck Breast with Berry Sauce,,201.51,397,800
Soft Shell Crab Po' Boy,,226.95,282,640
"Roasted Garlic Parmesan Wings, 6-piece",Popeyes Louisiana Kitchen,495.24,210,1040
"BEEF ENCHILADAS SMOTHERED IN CHILI SAUCE AND CHEESE WITH MEXICAN STYLE RICE AND AUTHENTIC REFRIED BEANS - INCLUDES COCADA (COCONUT FLAVORED) PUDDING, MEXICAN STYLE FIESTA",Campbell Soup Company,116,482,559.1
SEASONED & SMOKED CENTER CUT BEEF RIBS WITH ORIGINAL BBQ SAUCE,Lloyd's Barbeque Company,294,214,629.2
Peka,,158,400,632
Tamale & 2pc Leg & Thigh Bowl,El Pollo Loco,200,460,920
Cas Frm Orgnc Raisin Bran Crl,GENERAL MILLS SALES INC.,367,186,682.6
Grilled Fajita Vegan Bowl,Qdoba,109.96,482,530
"LYCHEE PIECES, LYCHEE","Ktm Services, Inc.",1250,40,500
"CREAMY PEPPER JACK PENNE STARTER KIT WITH BELL PEPPER & GRAPE TOMATOES, CREAMY PEPPER JACK PENNE WITH BELL PEPPER & GRAPE TOMATOES","Presto Chango Decor,inc.",173,497,859.8
Earth Bowl with Chicken,Just Salad,120,450,540
ALL AMERICAN BEAST SANDWICH,BP-Ampm,252,357,899.6
"GINGER LIME CAFFEINE FREE KOMBUCHA, GINGER LIME",Revive Brands,375,240,900
FILLED TURTLE CHEESECAKE,"Wal-Mart Stores, Inc.",354,164,580.6
SMOKY MAPLE PORK LOIN THE MEAL KIT,CHEF'D,137,422,578.1
Amish Style Macaroni Salad,Ahold,407,140,569.8
"HABANERO MONTEREY JACK CHEESE WITH HABANERO PEPPERS WISCONSIN CHEESE, HABANERO JACK",Saputo Cheese USA Inc.,2929,28,820.1
MAPLE WATER,DRINK SIMPLE,250,360,900
Pastrami Sub,,240,300,720
"Boneless Wings, 15 Piece",Wingstop,244.9,490,1200
"SWEETENED ICED GREEN TEA, ORIGINAL",Yamamoto Of Orient Inc.,625,240,1500
Chicken & Double-Smoked Bacon Sandwich,Starbucks,272.73,220,600
